detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_knn5_dist,jpeg,0.1,0.254703938961029,0.30357142857142855,0.7764705882352941,0.22564102564102564,0.6,280,66,44,19,151
ref_knn5_dist,motion_blur,0.05,0.3151868283748626,0.6607142857142857,0.5045045045045045,0.03508771929824561,0.9655172413793104,168,56,2,55,55
ref_knn5_dist,motion_blur,0.1,0.2648610174655914,0.6607142857142857,0.6936936936936937,0.08771929824561403,0.9390243902439024,168,77,5,34,52
ref_knn5_dist,pixelate,0.05,0.3163407742977142,0.8869047619047619,0.5369127516778524,0.0,1.0,168,80,0,69,19
ref_knn5_dist,pixelate,0.1,0.2650967538356781,0.8869047619047619,0.7248322147651006,0.05263157894736842,0.9908256880733946,168,108,1,41,18
ref_knn5_dist,red_channel_shift,0.05,0.3216860890388489,0.022321428571428572,0.0,0.0,,224,0,0,5,219
ref_knn5_dist,red_channel_shift,0.1,0.2737647294998169,0.022321428571428572,0.0,0.0045662100456621,0.0,224,0,1,5,218
ref_knn5_dist,resize,0.05,0.3147881031036377,0.19642857142857142,0.15151515151515152,0.05185185185185185,0.4166666666666667,168,5,7,28,128
ref_knn5_dist,resize,0.1,0.2622014284133911,0.19642857142857142,0.42424242424242425,0.14814814814814814,0.4117647058823529,168,14,20,19,115
ref_knn5_dist,rotation,0.05,0.3177392482757568,0.42857142857142855,0.7708333333333334,0.0,1.0,224,74,0,22,128
ref_knn5_dist,rotation,0.1,0.2657787799835205,0.42857142857142855,0.8645833333333334,0.0625,0.9120879120879121,224,83,8,13,120
ref_knn5_dist,scratch,0.05,0.2896529734134674,0.4107142857142857,0.8985507246376812,0.5050505050505051,0.5535714285714286,168,62,50,7,49
ref_knn5_dist,scratch,0.1,0.249207466840744,0.4107142857142857,0.9710144927536232,0.6161616161616161,0.5234375,168,67,61,2,38
ref_knn5_dist,shot_noise,0.05,0.314635306596756,0.8214285714285714,0.4927536231884058,0.1,0.9577464788732394,168,68,3,70,27
