backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x20,VN26_x50,77,0.0720449656125018,0.0720449656125018,0.4048229515453788,0.332777985932877
resnet50,VN26_x20,VN26_x50,78,0.21809777562472246,0.21809777562472246,0.23049705591886313,0.012399280294140669
resnet50,VN26_x20,VN26_x50,79,0.004480464843454755,0.004480464843454755,0.253025505824189,0.2485450409807342
resnet50,VN26_x20,VN26_x50,80,0.09318449770263443,0.09318449770263443,0.24616283464645483,0.1529783369438204
resnet50,VN26_x20,VN26_x50,81,0.05170634661884221,0.05170634661884221,0.20429544427005927,0.15258909765121706
resnet50,VN26_x20,VN26_x50,82,0.15647687330573104,0.15647687330573104,0.21861804817943656,0.06214117487370552
resnet50,VN26_x20,VN26_x50,83,0.04284930500993208,0.04284930500993208,0.2952857397622486,0.25243643475231653
resnet50,VN26_x20,VN26_x50,84,0.1703198584337646,0.1703198584337646,0.1753423172238627,0.0050224587900981055
resnet50,VN26_x20,VN26_x50,85,0.13388383453278802,0.13388383453278802,0.15465189451838848,0.020768059985600468
resnet50,VN26_x20,VN26_x50,86,0.1944825082114113,0.1944825082114113,0.20055105302110285,0.006068544809691545
resnet50,VN26_x20,VN26_x50,87,0.1554334000436317,0.1554334000436317,0.17311413049015364,0.017680730446521936
resnet50,VN26_x20,VN26_x50,88,0.22732430537286855,0.22732430537286855,0.22732430537286855,0.0
resnet50,VN26_x20,VN26_x50,89,0.1770735674506655,0.1770735674506655,0.19889636476463288,0.021822797313967385
resnet50,VN26_x20,VN26_x50,90,0.17423831232243428,0.17423831232243428,0.2231816782784468,0.04894336595601251
resnet50,VN26_x20,VN26_x50,91,0.23981582687806355,0.23981582687806355,0.23981582687806355,0.0
resnet50,VN26_x20,VN26_x50,92,0.15482402532768133,0.15482402532768133,0.2319124622260099,0.07708843689832856
resnet50,VN26_x20,VN26_x50,93,0.6202921481158353,0.6202921481158353,0.6202921481158353,0.0
resnet50,VN26_x20,VN26_x50,94,0.17857805649065941,0.17857805649065941,0.182712721828144,0.004134665337484578
resnet50,VN26_x20,VN26_x50,95,0.022075377336543727,0.022075377336543727,0.2410003030435407,0.21892492570699698
resnet50,VN26_x20,VN26_x50,96,0.10172429017870455,0.10172429017870455,0.22542715408796918,0.12370286390926463
resnet50,VN26_x20,VN26_x50,97,0.13444339128014796,0.13444339128014796,0.23982122963473618,0.10537783835458822
resnet50,VN26_x20,VN26_x50,98,0.09218058327408757,0.09218058327408757,0.3728903070151846,0.28070972374109704
resnet50,VN26_x20,VN26_x50,99,0.17984754418396162,0.17984754418396162,0.27519212919471464,0.09534458501075302
resnet50,VN26_x10,VN26_x50,0,0.08534597292541923,0.08534597292541923,0.2578479834175123,0.17250201049209307
resnet50,VN26_x10,VN26_x50,1,0.47440540500765954,0.47440540500765954,0.5800970984235873,0.10569169341592771
resnet50,VN26_x10,VN26_x50,2,0.09549499474031524,0.09549499474031524,0.21657263510804836,0.12107764036773312
resnet50,VN26_x10,VN26_x50,3,0.2176639468117256,0.2176639468117256,0.24760275800053677,0.02993881118881117
resnet50,VN26_x10,VN26_x50,4,0.0314624347815454,0.0314624347815454,0.24399751378357348,0.2125350790020281
resnet50,VN26_x10,VN26_x50,5,0.013708105233934008,0.013708105233934008,0.28174179049759923,0.2680336852636652
resnet50,VN26_x10,VN26_x50,6,0.03797519087793832,0.03797519087793832,0.2915537308673469,0.2535785399894086
resnet50,VN26_x10,VN26_x50,7,0.025995500753057777,0.025995500753057777,0.213277358618182,0.18728185786512422
resnet50,VN26_x10,VN26_x50,8,0.6388638430683441,0.6388638430683441,0.6388638430683441,0.0
resnet50,VN26_x10,VN26_x50,9,0.044379086321051066,0.044379086321051066,0.2825520592445046,0.23817297292345355
resnet50,VN26_x10,VN26_x50,10,0.31029774000081545,0.31029774000081545,0.3569358327106955,0.046638092709880064
resnet50,VN26_x10,VN26_x50,11,0.09183235847350597,0.09183235847350597,0.27889695485853094,0.18706459638502498
resnet50,VN26_x10,VN26_x50,12,0.2171875491786203,0.2171875491786203,0.3413745371256082,0.12418698794698793
resnet50,VN26_x10,VN26_x50,13,0.15195703206540287,0.15195703206540287,0.35658043062799116,0.2046233985625883
resnet50,VN26_x10,VN26_x50,14,0.11535308857471738,0.11535308857471738,0.3214351235709216,0.2060820349962042
resnet50,VN26_x10,VN26_x50,15,0.29640094891036145,0.29640094891036145,0.29640094891036145,0.0
resnet50,VN26_x10,VN26_x50,16,0.017409028132834174,0.017409028132834174,0.4079818948782532,0.390572866745419
