dataset,backbone,condition,image_idx,sgi,sgi_c0,sgi_c1,sgi_c2
WRD25,resnet50,clean,43,0.00031887755102040814,0.00015943877551020407,5.978954081632653e-05,9.964923469387755e-05
WRD25,resnet50,clean,44,0.0015744579081632653,0.0001992984693877551,0.00013950892857142856,0.0012356505102040817
WRD25,resnet50,clean,45,0.014508928571428572,0.011499521683673469,0.0003786670918367347,0.0026307397959183672
WRD25,resnet50,clean,46,0.0009765625,5.978954081632653e-05,0.00023915816326530612,0.0006776147959183673
WRD25,resnet50,clean,47,0.0007174744897959184,0.0003985969387755102,0.0001992984693877551,0.00011957908163265306
WRD25,resnet50,clean,48,0.002810108418367347,0.0,0.0014947385204081632,0.0013153698979591836
WRD25,resnet50,clean,49,0.0018933354591836734,0.0009367028061224489,0.00015943877551020407,0.0007971938775510204
WRD25,resnet50,clean,50,0.00332828443877551,0.0003786670918367347,7.971938775510203e-05,0.0028698979591836736
WRD25,resnet50,clean,51,0.00013950892857142856,0.0,5.978954081632653e-05,7.971938775510203e-05
WRD25,resnet50,clean,52,0.0007772640306122449,0.00023915816326530612,0.00015943877551020407,0.0003786670918367347
WRD25,resnet50,clean,53,0.003527582908163265,0.00015943877551020407,0.0009964923469387755,0.0023716517857142855
WRD25,resnet50,clean,54,0.0009964923469387755,0.00015943877551020407,7.971938775510203e-05,0.0007573341836734694
WRD25,resnet50,clean,55,0.0004384566326530612,0.0001793686224489796,1.992984693877551e-05,0.00023915816326530612
WRD25,resnet50,clean,56,0.00015943877551020407,7.971938775510203e-05,3.985969387755102e-05,3.985969387755102e-05
WRD25,resnet50,clean,57,0.003268494897959184,0.0013352997448979591,0.00023915816326530612,0.0016940369897959183
WRD25,resnet50,clean,58,0.006277901785714286,0.0013751594387755102,0.0003587372448979592,0.004544005102040816
WRD25,resnet50,clean,59,0.0003786670918367347,0.00011957908163265306,1.992984693877551e-05,0.00023915816326530612
WRD25,resnet50,clean,60,0.011080994897959183,0.004842952806122449,0.000896843112244898,0.005341198979591837
WRD25,resnet50,clean,61,0.0033681441326530613,0.000817123724489796,0.0004982461734693878,0.0020527742346938774
WRD25,resnet50,clean,62,0.0033880739795918366,0.0013751594387755102,0.00015943877551020407,0.0018534757653061226
WRD25,resnet50,clean,63,0.004464285714285714,0.0019331951530612245,0.0002192283163265306,0.002311862244897959
WRD25,resnet50,clean,64,0.0014947385204081632,0.00033880739795918367,5.978954081632653e-05,0.001096141581632653
WRD25,resnet50,clean,65,0.007533482142857143,0.004364636479591837,0.0003587372448979592,0.002810108418367347
WRD25,resnet50,clean,66,0.003985969387755102,0.0023915816326530613,0.00013950892857142856,0.0014548788265306123
WRD25,resnet50,clean,67,0.008868781887755101,0.00665656887755102,0.00013950892857142856,0.002072704081632653
WRD25,resnet50,clean,68,0.00047831632653061223,1.992984693877551e-05,0.00013950892857142856,0.00031887755102040814
WRD25,resnet50,clean,69,0.00390625,0.001096141581632653,0.00027901785714285713,0.00253109056122449
WRD25,resnet50,clean,70,0.008988360969387755,0.002810108418367347,0.00033880739795918367,0.005839445153061225
WRD25,resnet50,clean,71,0.006357621173469388,0.0021324936224489796,0.0005978954081632653,0.003627232142857143
WRD25,resnet50,clean,72,0.00843032525510204,0.002192283163265306,0.0004384566326530612,0.005799585459183673
WRD25,resnet50,clean,73,0.007473692602040816,0.0021723533163265306,0.0003786670918367347,0.004922672193877551
WRD25,resnet50,clean,74,0.007672991071428571,0.001793686224489796,0.0003786670918367347,0.005500637755102041
WRD25,resnet50,clean,75,0.0007374043367346938,0.0,0.00027901785714285713,0.00045838647959183676
WRD25,resnet50,clean,76,0.004404496173469388,0.0013751594387755102,0.00013950892857142856,0.002889827806122449
WRD25,resnet50,clean,77,0.005859375,0.0021125637755102043,0.00031887755102040814,0.0034279336734693877
WRD25,resnet50,clean,78,0.00607860331632653,0.0021723533163265306,0.00033880739795918367,0.003567442602040816
WRD25,resnet50,clean,79,0.0037468112244897957,0.000896843112244898,0.00029894770408163266,0.002551020408163265
WRD25,resnet50,clean,80,0.0018933354591836734,0.00013950892857142856,0.00027901785714285713,0.0014748086734693877
